Builder,Order #,Job #,Lot,Tract,Store,Job Type,Install Date,Status,Revenue
"FISCHER HOMES OF LOUISVILLE","CG633585","HPT 128B - LVT","128B","Harvest Point","005","RESILIENT - LV CLICK","","","3522.30"
"FISCHER HOMES OF LOUISVILLE","CG614279","SMK 342 - LVT","342","Sanctuary at Mallard Lake","005","RESILIENT - LV CLICK","2026-06-17","SCHEDULED","6632.24"
"FISCHER HOMES OF LOUISVILLE","CG619339","SMK 428 - LVT","428","Sanctuary at Mallard Lake","005","RESILIENT - LV CLICK","2026-06-25","SCHEDULED","6651.00"
"FISCHER HOMES OF LOUISVILLE","CG618649","SMK 424 - LVT","424","Sanctuary at Mallard Lake","005","RESILIENT - LV CLICK","2026-06-26","SCHEDULED","4540.50"
"FISCHER HOMES OF LOUISVILLE","CG630191","BTH 212 - LVT","212","Bethel Springs","005","RESILIENT - LV CLICK","2026-07-01","SCHEDULED","3557.48"
"FISCHER HOMES OF LOUISVILLE","CG630020","VHC 64 - LVT","64","Villages at Heritage Cree","005","RESILIENT - LV CLICK","2026-07-03","SCHEDULED","4235.18"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG609466","CHANGE ORDER #8","","","005","RESILIENT - LV GLUE","","","8962.81"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616378","BLDG 9 LVP (TYPE B-HC)","","","005","RESILIENT - LV CLICK","","","47925.23"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616385","BLDG 15 LVP (TYPE A-HC)","","","005","RESILIENT - LV CLICK","","","44082.00"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG600906","BLDG 7 (TYPE A) - LVP","","","005","RESILIENT - LV CLICK","","","44082.00"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616380","BLDG 11 LVP (TYPE B-ALT)","","","005","RESILIENT - LV CLICK","","","47925.23"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616381","BLDG 12 LVP (TYPE B)","","","005","RESILIENT - LV CLICK","","","47925.23"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616379","BLDG 10 LVP (TYPE B-ALT)","","","005","RESILIENT - LV CLICK","","","47925.23"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616384","BLDG 14 LVP (TYPE A)","","","005","RESILIENT - LV CLICK","","","44082.00"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616382","BLDG 13 LVP (TYPE A)","","","005","RESILIENT - LV CLICK","","","44082.00"
"HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","CG616377","BLDG 8 LVP (TYPE A)","","","005","RESILIENT - LV CLICK","2026-06-15","SCHEDULED","44082.00"
"ARBOR HOMES - LOUISVILLE","CG635910","DIETR 28 - LVT","28","Dietrich Farms","005","RESILIENT - LV CLICK","","","6350.75"
"ARBOR HOMES - LOUISVILLE","CG640672","OLH 286 - LVT","286","Old Heritage","005","RESILIENT - LV CLICK","","","5277.25"
"ARBOR HOMES - LOUISVILLE","CG639322","OE 259 - LVT","259","The Overlook at Eastwood","005","RESILIENT - LV CLICK","","","4374.75"
"ARBOR HOMES - LOUISVILLE","CG632867","BROST 509 - LVT","509","Brookstone","005","RESILIENT - LV CLICK","","","6004.05"
"ARBOR HOMES - LOUISVILLE","CG639904","BROST 514 - LVT","514","Brookstone","005","RESILIENT - LV CLICK","2026-06-08","COMPLETED","3857.00"
"ARBOR HOMES - LOUISVILLE","610130CO","OE 223 - LVT","","","005","RESILIENT - LV CLICK","2026-06-09","COMPLETED","407.84"
"ARBOR HOMES - LOUISVILLE","CG632256","CC 98 - LVT","98","Cedar Creek","005","RESILIENT - LV CLICK","2026-06-16","SCHEDULED","3106.50"
"ARBOR HOMES - LOUISVILLE","CG624653","OLH 85 - LVT","85","Old Heritage","005","RESILIENT - LV CLICK","2026-06-23","SCHEDULED","3933.00"
"ARBOR HOMES - LOUISVILLE","CG621352","OLH 3 - LVT","3","Old Heritage","005","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","4303.50"
"D.R. HORTON OF LOUISVILLE","CG639358","KCB 34 - LVT","34","CEDAR BROOK","005","RESILIENT - LV CLICK","","","4733.70"
"D.R. HORTON OF LOUISVILLE","CG620750","KCB 27 - LVT","27","CEDAR BROOK","005","RESILIENT - LV CLICK","2026-06-11","INSPECTION FAILED - HALT","6041.90"
"D.R. HORTON OF LOUISVILLE","CG618967","KCB 26 - LVT","26","CEDAR BROOK","005","RESILIENT - LV CLICK","2026-06-11","JOB CUT","3627.19"
"D.R. HORTON OF LOUISVILLE","CG619308","KCB 50 - LVT","50","CEDAR BROOK","005","RESILIENT - LV CLICK","2026-06-26","SCHEDULED","4014.37"
"D.R. HORTON OF LOUISVILLE","CG628940","KCB 32 - LVT","32","CEDAR BROOK","005","RESILIENT - LV CLICK","2026-07-14","SCHEDULED","5306.15"
"D.R. HORTON OF LOUISVILLE","CG636084","KCB 31 - LVT","31","CEDAR BROOK","005","RESILIENT - LV CLICK","2026-07-17","SCHEDULED","4733.70"
"D.R. HORTON OF LOUISVILLE","CG639277","KCB 29 - LVT","29","CEDAR BROOK","005","RESILIENT - LV CLICK","2026-07-24","SCHEDULED","4733.70"
"D.R. HORTON OF LOUISVILLE","CG639391","KCB 30 - LVT","30","Cedar Brook","005","RESILIENT - LV CLICK","2026-07-24","SCHEDULED","6041.90"
"D.R. HORTON OF LOUISVILLE","CG637174","KCB 33 - LVT","33","CEDAR BROOK","005","RESILIENT - LV CLICK","2026-07-24","SCHEDULED","4442.30"
"TAYLOR HOMES - LOUISVILLE","CG608331","15902 - LVT","15902 Somers","15902 Somers","005","RESILIENT - LV CLICK","","","0.00"
"TAYLOR HOMES - LOUISVILLE","CG633491","MODEL- LANDING LVT MAT","","","005","RESILIENT - LV CLICK","","","0.00"
"TAYLOR HOMES - LOUISVILLE","CG634534","15870 - LVT","15870 Mahoney","15870 Mahoney","005","RESILIENT - LV CLICK","","","7475.16"
"TAYLOR HOMES - LOUISVILLE","CG610365","15823 - LVT","15823","15823 Gilliam","005","RESILIENT - LV CLICK","","JOB CUT","6964.49"
"UNBRIDLED HOMES","FN553421","ROMAN-LVT","","","005","RESILIENT - LV CLICK","","","0.00"
"UNBRIDLED HOMES","CG635496","ROMAN - VENTS","7050","EAST BISHOP HILL","005","RESILIENT - LV CLICK","","","1971.71"
"UNBRIDLED HOMES","CG619826","DUNCAN RESIDENCE - LVT","501","MEDINA WAY","005","RESILIENT - LV CLICK","2026-06-10","JOB CUT","662.25"
"SUPERIOR BUILDERS","FN617467","GE 61 - LVT","61","GLENMARY ESTATES","005","RESILIENT - LV CLICK","","","0.00"
"SUPERIOR BUILDERS","CG609762","BATES 8531 - LVT","8531","BATES ROAD","005","RESILIENT - LV CLICK","","","9368.60"
"SUPERIOR BUILDERS","CG622920","BATES 8531 - LVT/VENTS","8531","BATES RD","005","RESILIENT - LV CLICK","","","2306.36"
"REDSMITH CONSTRUCTION, LLC","FN622420","WANTLAND-LVT","7905","BRISCOE WOODS","005","RESILIENT - LV CLICK","2026-06-04","SCHEDULED","0.00"
"SWEENEY CONSTRUCTION, LLC","FN603590","POWERS RESIDENCE - LVT","","POWERS RESIDENCE","005","RESILIENT - LV CLICK","","","0.00"
"DIYANNI HOMES - LOUISVILLE","CG616606","1519 GAUSE - LVT","1519","GAUSEPOHL","005","RESILIENT - LV CLICK","2026-06-09","SCHEDULED","1992.88"
"GARY HOLLOWELL CONSTRUCTION","CG641212","KIMSEY-LVT","279","KIMSEY","005","RESILIENT - LV GLUE","","","3204.50"
"KEY HOMES","CG630041","CL 395 - LVT","","","005","RESILIENT - LV CLICK","","","4874.05"
"FESSEL CONSTRUCTION","CG615359","BEYERLE - LVT","7925","HWY 337 NW","005","RESILIENT - LV CLICK","","","19171.95"
"STURDY BUILT HOMES","CG627973","DOBBINS - LVT","11623","DOBBINS RESIDENCE","005","RESILIENT - LV CLICK","","","6047.36"
